Taxon,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species
Amberboa moschata,accepted,158259,Amberboa moschata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Carduoideae,Cardueae,Amberboa,moschata
Ambrosia trifida,accepted,53034,Ambrosia trifida,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Heliantheae,Ambrosia,trifida
Amsinckia tesselata,unaccepted,58050,Amsinckia tessellata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Cynoglossoideae,Cynoglosseae,Amsinckia,tessellata
Anarrhinum bellidifolium,accepted,183320,Anarrhinum bellidifolium,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Plantaginaceae,,Antirrhineae,Anarrhinum,bellidifolium
Anthyllis vulneraria,accepted,82685,Anthyllis vulneraria,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Loteae,Anthyllis,vulneraria
Antirrhinum majus,accepted,48969,Antirrhinum majus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Plantaginaceae,,Antirrhineae,Antirrhinum,majus
Arabis caucasica,accepted,158480,Arabis caucasica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,Brassicoideae,Arabideae,Arabis,caucasica
Arachis hypogaea,accepted,63205,Arachis hypogaea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Dalbergieae,Arachis,hypogaea
Aralia elata,accepted,158549,Aralia elata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Araliaceae,,,Aralia,elata
Argemone mexicana,accepted,128533,Argemone mexicana,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Papaveraceae,Papaveroideae,Papavereae,Argemone,mexicana
Aristida oligantha,accepted,75562,Aristida oligantha,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Aristidoideae,Aristideae,Aristida,oligantha
Artemisia annua,accepted,75584,Artemisia annua,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Anthemideae,Artemisia,annua
Artemisia scoparia,accepted,158721,Artemisia scoparia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Anthemideae,Artemisia,scoparia
Artemisia stelleriana,accepted,158724,Artemisia stelleriana,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Anthemideae,Artemisia,stelleriana
Arundinaria humilis,unknown,,,,,,,,,,,,,,,,,,
Asclepias ovalifolia,accepted,47905,Asclepias ovalifolia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,,Apocynaceae,Asclepiadoideae,Asclepiadeae,Asclepias,ovalifolia
Asperula arvensis,accepted,59279,Asperula arvensis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,,Rubiaceae,Rubioideae,Rubieae,Asperula,arvensis
Asplenium scolopendrium,accepted,129105,Asplenium scolopendrium,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Aspleniinae,,,Aspleniaceae,,,Asplenium,scolopendrium
Astilbe chinensis,accepted,1396475,Astilbe chinensis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Saxifragaceae,,Astilbeae,Astilbe,chinensis
Astragalus flexuosus,accepted,139637,Astragalus flexuosus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Galegeae,Astragalus,flexuosus
Astragalus trichopodus var. lonchus,accepted,80444,Astragalus trichopodus lonchus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Galegeae,Astragalus,trichopodus
Aucuba japonica,accepted,56206,Aucuba japonica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Garryales,,,,Garryaceae,,,Aucuba,japonica
Avena barbata,accepted,52696,Avena barbata,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Avena,barbata
Barbarea intermedia,accepted,399949,Barbarea intermedia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,Brassicoideae,Cardamineae,Barbarea,intermedia
Berberis darwinii,accepted,75751,Berberis darwinii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Berberidaceae,Berberidoideae,Berberideae,Berberis,darwinii
Beta vulgaris,accepted,54498,Beta vulgaris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Betoideae,Beteae,Beta,vulgaris
Bidens pilosa,accepted,50203,Bidens pilosa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Coreopsideae,Bidens,pilosa
Brassica oleracea,accepted,54516,Brassica oleracea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,Brassicoideae,Brassiceae,Brassica,oleracea
Briza media,accepted,159452,Briza media,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Briza,media
Bromus arvensis,accepted,75896,Bromus arvensis,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Bromeae,Bromus,arvensis
Bromus erectus,accepted,159458,Bromus erectus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Bromeae,Bromus,erectus
Bromus lanceolatus,accepted,159463,Bromus lanceolatus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Bromeae,Bromus,lanceolatus
Bromus rubens,accepted,59210,Bromus rubens,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Bromeae,Bromus,rubens
Bryonia dioica,unaccepted,55932,Bryonia cretica dioica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Cucurbitales,,,,Cucurbitaceae,,Bryonieae,Bryonia,cretica
Bupleurum rotundifolia,unknown,,,,,,,,,,,,,,,,,,
Buxus sempervirens,accepted,133397,Buxus sempervirens,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Buxales,,,,Buxaceae,,,Buxus,sempervirens
Calendula arvensis,accepted,59260,Calendula arvensis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Calenduleae,Calendula,arvensis
Calystegia pubescens,accepted,204262,Calystegia pubescens,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Convolvulaceae,Convolvuloideae,Convolvuleae,Calystegia,pubescens
Camissonia bistorta,unaccepted,75975,Camissoniopsis bistorta,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,,Onagraceae,,,Camissoniopsis,bistorta
Camissonia micrantha,unaccepted,75985,Camissoniopsis micrantha,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,,Onagraceae,,,Camissoniopsis,micrantha
Campanula glomerata,accepted,84349,Campanula glomerata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Campanulaceae,Campanuloideae,,Campanula,glomerata
Campanula porscharskyana,unknown,,,,,,,,,,,,,,,,,,
Campanula trachelium,accepted,48588,Campanula trachelium,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Campanulaceae,Campanuloideae,,Campanula,trachelium
Cannabis sativa,accepted,75997,Cannabis sativa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Cannabaceae,,,Cannabis,sativa
Carduus crispus,accepted,159854,Carduus crispus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Carduoideae,Cardueae,Carduus,crispus
Carex flacca,accepted,159951,Carex flacca,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cariceae,Carex,flacca
Carex frankii,accepted,129090,Carex frankii,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cariceae,Carex,frankii
Carex hirta,accepted,159973,Carex hirta,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cariceae,Carex,hirta
Carex testacea,accepted,408922,Carex testacea,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cariceae,Carex,testacea
Castanea dentata,accepted,49186,Castanea dentata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,,Fagaceae,,,Castanea,dentata
Catalpa speciosa,accepted,76158,Catalpa speciosa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Bignoniaceae,,Catalpeae,Catalpa,speciosa
Caylusea abyssinica,unknown,,,,,,,,,,,,,,,,,,
Celastrus scandens,accepted,64538,Celastrus scandens,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Celastrales,,,,Celastraceae,,,Celastrus,scandens
Centaurea calcitrapa,accepted,56865,Centaurea calcitrapa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Carduoideae,Cardueae,Centaurea,calcitrapa
Centaurea dealbata,unaccepted,522029,Psephellus dealbatus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Carduoideae,Cardueae,Psephellus,dealbatus
Centaurea macrocephala,accepted,160276,Centaurea macrocephala,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Carduoideae,Cardueae,Centaurea,macrocephala
Centaurea solstitialis,accepted,52588,Centaurea solstitialis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Carduoideae,Cardueae,Centaurea,solstitialis
Chaenomeles speciosa,accepted,160369,Chaenomeles speciosa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Maleae,Chaenomeles,speciosa
Chaerophyllum temulentum,unaccepted,55733,Chaerophyllum temulum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Scandiceae,Chaerophyllum,temulum
Chamaesyce nutans,unaccepted,200052,Euphorbia nutans,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Euphorbiaceae,Euphorbioideae,Euphorbieae,Euphorbia,nutans
Chamaesyce serpens,unaccepted,200054,Euphorbia serpens,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Euphorbiaceae,Euphorbioideae,Euphorbieae,Euphorbia,serpens
Chamaesyce vermiculata,unaccepted,204171,Euphorbia vermiculata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Euphorbiaceae,Euphorbioideae,Euphorbieae,Euphorbia,vermiculata
Chenopodium ambrosioides,unaccepted,76746,Dysphania ambrosioides,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Chenopodioideae,Dysphanieae,Dysphania,ambrosioides
Chenopodium hybridum,unaccepted,896902,Chenopodiastrum hybridum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Chenopodioideae,Atripliceae,Chenopodiastrum,hybridum
Chenopodium opulifolium,accepted,160507,Chenopodium opulifolium,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Chenopodioideae,Chenopodieae,Chenopodium,opulifolium
Chenopodium probstii,unaccepted,58127,Chenopodium album,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Chenopodioideae,Chenopodieae,Chenopodium,album
Chionodoxa forbesii,unaccepted,68357,Scilla forbesii,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Asparagaceae,Scilloideae,Hyacintheae,Scilla,forbesii
Chionodoxa luciliae,unaccepted,244100,Scilla luciliae,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Asparagaceae,Scilloideae,Hyacintheae,Scilla,luciliae
Cicer arietinum,accepted,122854,Cicer arietinum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Cicereae,Cicer,arietinum
Citrullus lanatus,accepted,70054,Citrullus lanatus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Cucurbitales,,,,Cucurbitaceae,,Benincaseae,Citrullus,lanatus
Cladanthus mixtus,accepted,82647,Cladanthus mixtus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Anthemideae,Cladanthus,mixtus
Clarkia arcuata,accepted,60088,Clarkia arcuata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,,Onagraceae,,,Clarkia,arcuata
Colutea arborescens,accepted,76422,Colutea arborescens,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Galegeae,Colutea,arborescens
Consolida orientalis,accepted,160839,Consolida orientalis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Ranunculaceae,Ranunculoideae,Delphinieae,Delphinium,orientalis
Conyza bonariensis,unaccepted,76904,Erigeron bonariensis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Erigeron,bonariensis
Coreopsis tinctoria var. tinctoria,accepted,240127,Coreopsis tinctoria tinctoria,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Coreopsideae,Coreopsis,tinctoria
Coreopsis verticillata,accepted,129322,Coreopsis verticillata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Coreopsideae,Coreopsis,verticillata
Coriandrum sativum,accepted,67759,Coriandrum sativum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Coriandreae,Coriandrum,sativum
Corynephorus canescens,accepted,160927,Corynephorus canescens,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Corynephorus,canescens
Cosmos bipinnatus,accepted,68562,Cosmos bipinnatus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Coreopsideae,Cosmos,bipinnatus
Cotoneaster crispii,accepted,1399468,Cotoneaster crispii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Maleae,Cotoneaster,crispii
Cotoneaster dielsianus,accepted,498529,Cotoneaster dielsianus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Maleae,Cotoneaster,dielsianus
Cotoneaster hjelmqvistii,accepted,498832,Cotoneaster hjelmqvistii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Maleae,Cotoneaster,hjelmqvistii
Cotoneaster hybridus pendulus,unknown,,,,,,,,,,,,,,,,,,
Cotoneaster lacteus,unaccepted,411074,Cotoneaster coriaceus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Maleae,Cotoneaster,coriaceus
Cotoneaster qungbixiensis,accepted,993678,Cotoneaster qungbixiensis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Maleae,Cotoneaster,qungbixiensis
Cotoneaster salicifolius,accepted,337820,Cotoneaster salicifolius,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Maleae,Cotoneaster,salicifolius
Cotoneaster sternianus,accepted,791250,Cotoneaster sternianus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Maleae,Cotoneaster,sternianus
Cotoneaster tengyuehensis,accepted,791244,Cotoneaster tengyuehensis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Maleae,Cotoneaster,tengyuehensis
Cotoneaster x crispii,accepted,53376,Cotoneaster,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Maleae,Cotoneaster,
Cotoneaster x suecicus ,accepted,53376,Cotoneaster,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Maleae,Cotoneaster,
Cotoneaster x watereri,accepted,53376,Cotoneaster,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Maleae,Cotoneaster,
Cotula australis,accepted,53025,Cotula australis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Anthemideae,Cotula,australis
Crataegus phaenopyrum,accepted,141714,Crataegus phaenopyrum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Maleae,Crataegus,phaenopyrum
Crepis biennis,accepted,161116,Crepis biennis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Crepis,biennis
Crepis setosa,accepted,76479,Crepis setosa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Crepis,setosa
Crocus tommasinianus,accepted,55875,Crocus tommasinianus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Iridaceae,Crocoideae,Croceae,Crocus,tommasinianus
Crocus vernus,accepted,55769,Crocus vernus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Iridaceae,Crocoideae,Croceae,Crocus,vernus
Cryptantha intermedia,accepted,57699,Cryptantha intermedia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Cynoglossoideae,Cynoglosseae,Cryptantha,intermedia
Cucumis melo,accepted,76538,Cucumis melo,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Cucurbitales,,,,Cucurbitaceae,,Benincaseae,Cucumis,melo
Cucurbita pepo,accepted,76541,Cucurbita pepo,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Cucurbitales,,,,Cucurbitaceae,,Cucurbiteae,Cucurbita,pepo
Cycloloma atriplicifolium,unaccepted,1452518,Dysphania atriplicifolia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Chenopodioideae,Dysphanieae,Dysphania,atriplicifolia
Cydonia oblonga,accepted,82853,Cydonia oblonga,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Maleae,Cydonia,oblonga
Cynara cardunculus subsp. cardunculus,accepted,57566,Cynara cardunculus cardunculus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Carduoideae,Cardueae,Cynara,cardunculus
Cynara scolymus,unaccepted,861815,Cynara cardunculus scolymus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Carduoideae,Cardueae,Cynara,cardunculus
Cyperus acuminatus,accepted,76582,Cyperus acuminatus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cypereae,Cyperus,acuminatus
Cyperus eragrostis,accepted,59055,Cyperus eragrostis,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cypereae,Cyperus,eragrostis
Cyperus retrorsus,accepted,161485,Cyperus retrorsus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cypereae,Cyperus,retrorsus
Cytisus monspessulanus,unknown,,,,,,,,,,,,,,,,,,
Cytisus multiflorus,accepted,76596,Cytisus multiflorus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Genisteae,Cytisus,multiflorus
Cytisus villosus,accepted,161579,Cytisus villosus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Genisteae,Cytisus,villosus
Daboecia cantabrica,accepted,371651,Daboecia cantabrica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Ericaceae,Ericoideae,Ericeae,Daboecia,cantabrica
Datura wrightii,accepted,58331,Datura wrightii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Solanaceae,Solanoideae,Datureae,Datura,wrightii
Deutzia scabra 'Plena',accepted,161761,Deutzia scabra,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Cornales,,,,Hydrangeaceae,,,Deutzia,scabra
Dianthus gratianopolitanus,accepted,85439,Dianthus gratianopolitanus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,Caryophylloideae,Caryophylleae,Dianthus,gratianopolitanus
Digitalis grandiflora,accepted,123625,Digitalis grandiflora,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Plantaginaceae,,Digitalideae,Digitalis,grandiflora
Digitalis lanata,accepted,147321,Digitalis lanata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Plantaginaceae,,Digitalideae,Digitalis,lanata
Digitalis lutea,accepted,161899,Digitalis lutea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Plantaginaceae,,Digitalideae,Digitalis,lutea
Diplotaxis muralis,accepted,76664,Diplotaxis muralis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,Brassicoideae,Brassiceae,Diplotaxis,muralis
Dipsacus laciniatus,accepted,117438,Dipsacus laciniatus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Caprifoliaceae,Dipsacoideae,,Dipsacus,laciniatus
Doronicum orientale,unaccepted,857164,Doronicum caucasicum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Senecioneae,Doronicum,caucasicum
Doronicum x plantagineum,accepted,61305,Doronicum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Senecioneae,Doronicum,
Dracopis amplexicaulis,unaccepted,200073,Rudbeckia amplexicaulis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Heliantheae,Rudbeckia,amplexicaulis
Echinops exaltatus,accepted,162201,Echinops exaltatus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Carduoideae,Cardueae,Echinops,exaltatus
